,episode_rewards,episode_lengths
634,-191.07633809382054,46
635,-174.09660333137234,69
636,-144.56999478612516,140
637,-197.1769037463994,57
638,-172.13172520126648,138
639,-186.35266140489375,29
640,-188.608072066128,32
641,-159.86423259464948,126
642,-154.09496171475863,99
643,-188.27834404793228,57
644,-159.01179624092686,123
645,-171.13151403826677,73
646,-162.8600124570039,63
647,-164.52680872249493,68
648,-160.34495726512918,130
649,-176.844209215073,73
650,-170.2696510474937,65
651,-183.19082581973498,88
652,-166.61703503849557,114
653,-157.35701844259842,120
654,-153.31931726945112,149
655,-136.53095431036476,166
656,-163.5945261405191,92
657,-165.1877413474498,97
658,-172.5021280548583,82
659,-120.15687227175202,169
660,-182.59565722984848,82
661,-163.32551714053534,144
662,-133.73885076913916,158
663,-172.5674745700501,95
664,-149.5156549730438,132
665,-115.4868469937167,173
666,-172.07292221034606,83
667,-137.03643481820205,181
668,-117.45985320276944,330
669,-170.18718476226135,130
670,-180.93762396060097,74
671,-133.1109468689345,159
672,-156.4524939759002,170
673,-170.55938921179717,76
674,-156.290969713878,111
675,-153.59545811596487,262
676,-146.6870071299814,170
677,-167.52120641292825,113
678,-149.04955178778025,132
679,-92.91170173947603,219
680,-181.21824719161978,78
681,-153.16790642543805,93
682,-179.6127416846344,67
683,-168.28222984734307,63
684,-158.6202357630857,122
685,-170.5217059902121,78
686,-130.26641155829964,136
687,-139.09178836807826,190
688,-138.62594981065453,123
689,-181.31955327161668,79
690,-166.4668260260845,110
691,-168.4011274210048,126
692,-171.52804939860712,67
693,-171.37198101831518,65
694,-128.76210825670293,194
695,-184.44481363330374,95
696,-165.48536783796482,103
697,-55.20068780909287,363
698,-109.89716750753284,280
699,-178.49586904510448,66
700,-156.33442526548714,114
701,-183.9373541132186,18
702,-114.01509205079888,216
703,-79.19042467153415,248
704,-141.43749908173191,138
705,-100.73261391427143,205
706,-124.32201638603176,213
707,-131.4812438250843,479
708,-184.83136834127566,24
709,-120.26769918899741,192
710,-121.05930510055695,167
711,-152.3437445734615,128
712,-150.78754384000885,132
713,-86.48802533258976,314
714,-174.83792585707639,98
715,-187.93690381898006,33
716,-196.8367314002739,51
717,-119.27415180605351,295
718,-54.97432259364609,538
719,-82.91862216697571,390
720,-143.07777221007822,149
721,-150.00955090499994,126
722,-72.56248293594831,278
723,-187.86817406860865,34
724,-188.01334046136066,56
725,-186.2645874035571,25
726,-196.50154993195332,26
727,-194.08169476806282,20
728,-194.5997223555468,20
729,-194.94877789930038,20
730,-195.18671106737108,20
731,-190.0663234372998,32
732,-158.2105337888751,160
733,-130.00893188401443,310
734,-153.89161790164283,101
735,-183.5125677762009,90
736,-180.77361528636112,73
737,-189.51513625517754,65
738,-164.5013874111501,143
739,-186.897112838771,25
740,-163.23436581560676,141
741,-164.3106693532252,97
742,-147.61829738780244,196
743,-172.06302038868284,88
744,-153.77836120416407,148
745,-173.32366043421163,87
746,-142.72781180697743,172
747,-191.01534509605222,37
748,-182.78005226001193,46
749,-174.85182984777884,47
750,-128.20011538224668,121
751,-194.1961462138386,47
752,-128.27024251313026,187
753,-138.92651816498324,146
754,-177.9785301138112,102
755,-182.44903545323493,75
756,-163.4296028349983,85
757,-150.5665757654247,135
758,-156.49945990302587,111
759,-172.82841933314415,83
760,-129.4894031272276,209
761,-160.27903877731194,126
762,-196.16175343465804,26
763,-165.1944823471177,91
764,-149.71731255015078,132
765,-172.67298118197306,81
766,-73.30590628622035,319
767,-143.60236015267463,151
768,-161.2328941945192,160
769,-195.07419502904847,22
770,-190.69477251847562,35
771,-194.82907537773767,21
772,-181.54382671468682,42
773,-143.82579373430258,151
774,-169.56310178377845,66
775,-154.2736183106368,166
776,-184.4774551905891,145
777,-144.7268224063628,164
778,-174.13294230809973,50
779,-158.66122245494375,123
780,-153.06498428720582,257
781,-172.35216380193864,85
782,-170.28438607058135,64
783,-127.78342708230663,187
784,-179.6244338304545,65
785,-183.1628713667491,81
786,-91.47024781868119,215
787,-175.27886891128134,99
788,-149.9482099879591,137
789,-161.18453398699342,77
790,-164.60710740783446,97
791,-170.98245185916926,38
792,-165.21152463345203,98
793,-166.4284700279379,110
794,-184.06745502782084,18
795,-78.98148028377022,327
796,-181.24373986321135,82
797,-184.6700598552314,24
798,-161.82902383199072,91
799,-181.30469455269795,76
800,-116.83316288331665,298
801,-194.79804246540914,19
802,-194.74720507027365,19
803,-195.43243568296856,28
804,-194.73890724618335,19
805,-183.72391909759628,88
806,-172.78895013486016,80
807,-161.0352325631104,87
808,-133.5124156116911,136
809,-174.28855765448003,86
810,-61.25841403120123,382
811,-136.61023160295926,278
812,-171.5566488705038,53
