episode,avg_reward,avg_v,episode_time,distance_traveled
162,-22.566965195156527,1.7092175,18.155,7.116682052612305
163,0.5248481966955871,3.048899,18.198,8.526512829121202e-14
164,-3.1168317257361022,2.761609,18.263,5.846983432769775
165,-10.41199012217352,2.7955003,18.422,1.1368683772161603e-13
166,-5.305893207731479,3.5378768,18.532,3.694822225952521e-13
167,0.6804912475339793,2.9182014,18.627,5.900369167327881
168,-19.60644461426643,1.9296086,18.661,1.1368683772161603e-13
169,0.5236153256719971,3.391657,18.785,1.9184653865522705e-13
170,-10.71546557310314,3.140294,18.815,1.7112135005433599e-13
171,-23.83660849732329,1.0671751,18.903,6.6114373207092285
172,-2.453329985151487,2.2997317,19.053,6.847309589385986
173,-14.32898952877035,2.5134559,19.118,1.2710575051245315e-13
174,-35.50135351915572,1.5606681,19.163,1.4210854715202004e-13
175,-11.98898144562235,3.8435543,19.24,4.582862951976741e-13
176,0.34739051494470136,2.5985281,19.351,2.3437141442005094e-13
177,-7.466629905768651,1.552213,19.384,2.1316282072803006e-14
178,-8.814176622881753,1.8786132,19.415,2.049518595201999e-13
179,-16.355739122465966,1.5692759,19.531,6.389133930206299
180,0.5130443675164976,1.9141353,19.574,44.40131378173828
181,-11.331561504604425,1.7500294,19.616,3.5950935154197006e-13
182,-33.169713157415366,1.6362019,19.735,5.684341886080802e-14
183,0.455419428071324,2.8222525,19.788,6.245727062225342
184,0.8756762130148069,4.702186,19.855,1.2710575051245315e-13
185,-5.766317581056611,3.4874263,20.0,5.751996994018555
186,0.37128586253928747,2.1093888,20.036,1.8474111129762605e-13
187,0.9147688182970461,2.871829,20.125,5.56270170211792
188,-13.754015982147026,1.5395784,20.224,2.2737367544323206e-13
189,-2.174832856912015,6.2953153,20.403,5.702366352081299
190,-3.8625061954877538,3.2550929,20.471,2.283706806559954e-13
191,-19.588108059821458,2.2333179,20.546,2.3437141442005094e-13
192,0.34030196002998664,1.6307813,20.685,1.4210854715202004e-13
193,-13.569538984696061,1.5595121,20.799,1.607774650176294e-13
194,0.9487380952736034,3.8192112,20.885,5.798340320587158
195,-23.148233204175426,3.8037174,20.983,1.1368683772161603e-13
196,-8.746242218846561,2.7625053,21.1,3.4290587947252704e-13
197,-13.985149944861718,1.5737728,21.142,2.2751413383467756e-13
198,-7.924520533600883,2.4560618,21.183,1.607774650176294e-13
199,-9.522979886335643,3.4893315,21.256,6.407827377319336
200,-22.620100608097626,1.7555566,21.368,6.80853796005249
201,0.6985383302879253,3.3449874,21.419,5.662029266357422
202,0.448500268532244,2.8002536,21.452,3.2427632808685303
203,-7.24404500435713,3.1618767,21.581,5.401660919189453
204,-13.0514612700953,2.0470655,21.667,9.947598300641403e-14
205,-23.8247326819794,2.9497702,21.731,2.2737367544323206e-13
206,-31.015541328531324,2.7316024,21.871,7.105427357601002e-14
207,-37.268528665055314,1.1162504,21.949,5.3787617683410645
208,-16.123338311370944,2.775859,21.996,6.355287525622658e-14
209,-4.799914597439619,2.5325482,22.061,4.39376974105835
210,-11.016524535619451,2.243686,22.24,5.684341886080802e-14
211,-15.001014611004752,1.5005014,22.285,2.049518595201999e-13
212,-5.984855935575272,5.1162777,22.417,1.607774650176294e-13
213,0.31661845288784285,1.707532,22.534,4.961723804473877
214,0.5211691684531435,3.0358398,22.578,4.465602874755859
215,-3.639937677064777,2.3907576,22.685,3.552713678800501e-14
216,-47.734817413626644,0.91442674,22.772,5.684341886080802e-14
217,-42.780448273972354,1.9784639,22.923,1.2710575051245315e-13
218,-4.576945266323854,1.8931386,22.991,8.502803802490234
219,-14.719511829707738,2.2893336,23.051,2.8421709430404007e-13
220,-3.627087549719602,1.9035695,23.206,2.428351844694504e-13
221,0.19060358760049592,1.5140358,23.276,4.4396130109876364e-13
222,-11.449776245366325,1.5469468,23.326,6.462173938751221
223,0.3605149506962085,1.6738832,23.452,1.1965051887642686e-13
224,0.37407176876279774,2.4001663,23.496,6.0800323486328125
225,-10.72188890931247,1.4431707,23.562,2.3013250918628436e-13
226,-43.240014241383236,1.0249233,23.633,1.607774650176294e-13
227,-6.626139702593341,3.848165,23.802,2.3437141442005094e-13
228,-31.094559233811424,1.3982697,23.859,2.542115010249063e-13
229,-4.424035546646158,4.547644,23.922,1.2710575051245315e-13
230,-26.21108252516036,1.635283,24.042,5.380947589874268
231,0.46366921938042055,3.3131497,24.089,3.215549300352588e-13
232,-5.412077055507043,2.391344,24.148,3.5950935154197006e-13
233,-33.159026304945016,1.5090307,24.28,1.1457157379941851e-13
234,-2.389768920329071,3.7517772,24.372,1.1390866548610656e-13
235,-6.911948221974834,2.4327142,24.451,2.049518595201999e-13
236,-6.590849489954455,3.1943572,24.52,6.0926971435546875
237,-8.665511512681597,2.0930429,24.639,30.4769344329834
238,-24.65763849921683,2.133548,24.696,4.582862951976741e-13
239,-8.627584862583785,2.147934,24.731,1.4921397450962104e-13
240,-18.436533059576597,1.8498341,24.791,1.2710575051245315e-13
241,-11.379344992842576,2.0152721,24.932,3.2724769115448
242,-17.844562483014908,1.9979333,24.984,1.2710575051245315e-13
243,-19.55889944035874,1.1743934,25.046,56.28890609741211
