episode,avg_reward,avg_v,episode_time,distance_traveled,avg_angle,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings
79,-30.043533224639933,1.5627716,10.835,2.3437141e-13,157.50309232955968,21.990727361959145,18.26072669770448,"[42.80223  40.94011  44.904343 54.488388 61.49978  40.737732 38.187305
 40.50301 ]"
80,-32.855709676606345,2.07415,10.894,1.6077747e-13,92.96943091315616,24.923414392398872,15.252027959110157,"[62.39439  71.25951  53.467564 53.694515 46.236378 24.655296 18.295256
 16.519068]"
81,-23.307772419893208,2.6223888,10.97,7.4010186,209.05513079721263,21.146027836223183,19.046120046263848,"[49.9915   32.41276  39.926857 53.419113 68.11105  62.28694  47.009117
 30.053804]"
82,-26.497751139769125,1.1843482,11.032,1.3267198e-13,132.10624787065674,15.042775305281715,25.15493878190598,"[16.710657 19.97348  32.07651  41.05886  43.609962 43.04194  45.149918
 94.11308 ]"
83,-26.17832565975796,1.3569522,11.207,6.306067e-14,67.5216576724229,15.992935350098167,24.290713336550922,"[19.854958 27.3565   40.247215 57.836575 53.713573 56.77517  55.09446
 48.765926]"
84,-22.747889929641758,1.0285636,11.273,5.710737,157.7492545193754,25.818475669893328,14.308380855154716,"[86.622795 97.90386  69.485916 61.44635  27.803204 19.172905 16.036394
 14.383434]"
85,-17.87519394168013,1.9900149,11.481,1.3406493e-13,144.54427034959923,15.937561566603737,24.277386985718433,"[28.85361  43.324303 66.09841  83.236305 87.96826  67.60387  75.82171
 59.60031 ]"
86,-3.631283116328882,3.5600176,11.623,28.994152,151.96292455190994,14.604038947220715,24.064623682323855,"[ 15.516591  16.766018  21.80288   32.30175  108.14332  158.83073
  85.48657   47.995266]"
87,-10.764548664632924,2.8041806,11.663,10.823629,118.19699386797862,14.217811491463099,25.944063170177888,"[ 15.783413  18.017162  47.040195  56.538773  39.532726  55.447807
  68.99323  154.35608 ]"
88,-33.19317609330018,1.4015725,11.717,4.96542e-13,217.81174710643447,25.245155522618386,14.96945994630559,"[51.22073  64.625656 41.254326 52.91587  53.568554 23.172455 18.306845
 30.088362]"
89,-16.895510230425568,2.2458522,11.778,6.938668,74.73346134461285,16.696972419858536,23.464380222175784,"[ 20.219837  25.64114   38.683266  72.99553   88.38589  169.12048
  64.954     39.71701 ]"
90,-16.299083998519883,3.4998004,12.043,9.2370556e-14,105.63718221833655,20.306924659495483,19.92473238803302,"[29.913288 40.338406 64.52741  92.564445 97.28725  92.26623  51.887417
 29.940428]"
91,-22.746011821440046,3.0189068,12.137,1.4210855e-13,104.07370220448645,16.33404269730196,23.724034452458113,"[ 19.584661  40.16613   67.82691  114.42146  114.00222   93.11297
  64.650734  31.948938]"
92,-11.224863783944985,1.9805776,12.213,5.294741,90.3394048834821,11.37564821342741,28.829633249338105,"[ 12.402501  13.356476  16.07141   32.284622 101.43633  137.06717
  94.96924   73.01567 ]"
93,-4.795110267379211,3.4342203,12.267,5.2533336,71.7056487670237,22.00790551590468,18.08529348868726,"[ 29.609406  39.223663  47.567745  65.56174  100.745636  90.65037
  30.633568  21.75355 ]"
94,-58.50624148703128,0.87902886,12.414,8.378703,90.23061680262025,18.150476522689083,21.985834734434317,"[23.835873 34.074116 89.05153  92.133965 80.045006 71.279884 41.499195
 41.95915 ]"
95,-20.47080708645581,1.4387199,12.484,1.2710575e-13,76.16461329069503,13.761941254455762,26.60921013436834,"[15.7572565 21.629602  28.616764  51.890987  61.870693  98.45927
 95.11738   70.33383  ]"
96,-5.216029833032607,2.7990935,12.691,4.7326937,119.62205853799745,18.28277456897788,21.96424943479614,"[ 33.598618  53.59814   66.81643   93.69885  105.72736  107.13793
  79.77671   36.994324]"
97,-3.9829151400302156,4.5285926,12.909,1.4210855e-13,153.53196323918613,24.032238881930393,16.17957834796595,"[33.415085 50.609547 91.961044 95.004364 98.38439  62.65389  30.333748
 20.081213]"
98,-12.99045789813262,2.4641948,12.972,1.7763568e-14,58.54191228021315,13.952122907467254,26.20900338232088,"[ 16.63041   16.259935  19.741108  60.072918 116.97067  111.59891
  69.57226   53.750072]"
99,-4.447018329502539,3.6425781,13.039,5.375455,133.87245018743818,13.53785564452358,26.680480282917653,"[ 13.914401  16.779774  22.095617  56.006462  95.83891  165.85928
 145.8651    86.9304  ]"
100,-6.576763422311063,1.8896247,13.187,7.1054274e-14,104.17644813381045,23.11316344849606,17.05868099909533,"[50.826458 64.81397  83.416855 62.10468  54.543083 95.06104  42.36891
 25.084497]"
101,-31.114342766076646,1.2683926,13.259,1.2141759e-13,119.36035095073095,24.63052389379361,15.399374075200193,"[40.28133  53.45227  68.422615 80.3021   68.64203  44.075714 19.247868
 18.428768]"
102,-2.0857065316137877,4.26983,13.359,1.6077747e-13,113.69679490440689,18.964607822822526,21.200372213732336,"[34.018776 52.164753 57.06131  88.074326 79.496284 99.763916 58.034985
 32.501423]"
103,-28.81085449060753,1.0432836,13.449,4.8391113,94.6743756052313,12.166901640656041,28.24588688187301,"[13.097138 13.934573 21.443026 18.989035 24.816881 38.10891  68.65277
 71.10233 ]"
104,-21.6425287773214,1.3665923,13.621,2.511143e-13,81.88135644597895,22.719317733784212,17.403469958866733,"[60.18498  54.940006 87.21396  68.737625 44.216927 28.80995  23.384872
 20.228495]"
105,-18.363302450235675,1.5106947,13.659,1.2141759e-13,148.45031765387495,25.585764570018476,14.300791305820264,"[27.956839 40.16027  61.619625 44.35476  24.591137 19.074429 20.843456
 25.894995]"
106,-50.96974288613819,1.2075362,13.777,6.114723,143.36608119716422,22.747866579299952,14.19192779647793,"[ 29.485737  35.74219   57.10565   41.70396   57.357876  49.567482
 113.701614 111.78213 ]"
107,-36.820223967468266,0.9696646,13.856,1.1457157e-13,93.61940598487627,12.944477695806949,27.42897763174313,"[17.724669 16.12946  15.926831 19.514183 34.928116 75.32831  70.53853
 54.061626]"
108,-43.17455115769399,1.1359111,14.016,5.622545,143.245134606862,23.395111573983023,16.707914325869286,"[50.72408  53.95635  55.59538  61.387955 94.88927  60.593765 22.769167
 19.521585]"
109,-2.7006759488261873,4.0182867,14.118,2.7283974,131.46622904344628,20.763708244028887,19.429351960595866,"[26.457426 36.983074 57.269302 68.62208  81.066315 74.16177  50.959717
 45.13681 ]"
110,-24.303708210467004,2.7832475,14.224,2.542115e-13,198.83595277556358,22.64367336705107,17.112468753433024,"[38.002094 61.260532 84.49254  59.41693  81.291626 93.63704  79.21991
 65.28971 ]"
111,-24.684917429657723,1.7964762,14.352,1.2710575e-13,153.28658739825124,14.501122111476484,25.425341567678473,"[ 14.843912  12.728646  17.104687  21.54675   32.488247  69.318146
 162.46136  107.92866 ]"
112,-18.87488943975575,1.3559614,14.428,5.697744,147.0668658577803,14.242961029561524,25.08150337220815,"[ 14.607018  15.5193    18.036148  39.494522  48.65363   77.52595
 135.52654   80.264206]"
113,-10.393088281298358,2.5658166,14.491,76.72041,93.11244314997383,17.36354478882663,22.785647388080854,"[19.874708 23.316658 31.018972 46.82331  74.78373  77.98143  55.826828
 42.690792]"
114,-11.03272873304556,1.3326633,14.66,3.2155493e-13,200.0665872969021,26.077290147974267,14.173927744202519,"[62.874916 88.015656 66.474785 34.670925 44.161385 35.134293 32.447727
 17.601398]"
115,-7.845761242051206,3.1400383,14.717,3.422427e-13,72.83712984638747,14.459848669045384,25.70483664182588,"[15.155538 17.079084 21.899996 34.503666 64.55376  91.5426   82.51007
 83.69517 ]"
116,-24.827589562162743,1.7241044,14.772,3.410605e-13,76.14474909823602,14.610329352630604,25.74081427846898,"[14.243621 16.03351  18.90216  26.185062 45.85548  66.14259  78.96134
 82.98876 ]"
117,-22.747663899369897,1.8415983,14.809,1.7112135e-13,105.60092302990776,15.248478110184719,24.85615651580155,"[16.604706 18.007952 22.01233  29.569454 42.96629  64.93742  63.219097
 73.301346]"
118,-14.193374142232464,2.7580402,14.955,1.1368684e-13,68.77315765432137,21.915201524588134,18.2810113204585,"[34.833225 45.352585 50.88693  48.907803 37.606163 30.609856 28.428122
 25.940746]"
119,-28.380806917200434,1.4180492,15.006,1.304383e-13,118.65325544864383,15.458702807000448,24.60625869618828,"[ 26.87446   19.849346  48.644558  56.82955   62.866177  47.920967
  65.34036  107.50335 ]"
120,-12.833221555480453,2.8588061,15.105,5.684342e-14,122.68205246856614,17.00580102104146,23.168125356426053,"[ 22.653503  51.705894  68.01032   96.40722  107.088356  74.54866
  39.609657  33.99397 ]"
121,-28.060546717329572,2.319007,15.252,1.6077747e-13,180.77832868760865,23.40940532487362,16.694677984339457,"[ 34.337234  50.62288   97.2095   139.50749  111.58145   59.496838
  43.669525  34.511173]"
122,-10.29675043562855,1.7708153,15.347,1.2710575e-13,220.23204011148184,17.9902585346587,22.127531039679674,"[26.853273 28.598324 29.29695  34.591827 69.2746   61.44875  72.515526
 66.27378 ]"
123,-45.156307665861775,0.8178756,15.454,1.2710575e-13,125.5152098091399,10.31182017898674,29.88147978350459,"[56.40452  51.402912 37.62946  21.813662 24.27746  33.95564  25.679325
 48.392094]"
124,-21.34494676275324,2.653545,15.544,1.1191048e-13,107.32413737932981,23.82082134623147,16.3270816530307,"[30.610384 42.936966 49.468655 67.60154  98.805855 80.19914  46.16973
 33.680096]"
125,-5.6279239629339335,3.3477514,15.754,6.663729,123.2313717031339,15.533472763046028,24.694899170936665,"[17.135618 21.114542 31.98109  59.75724  89.82485  97.58133  75.04052
 43.224594]"
126,-5.078997021906595,4.8868423,15.811,2.0495186e-13,55.23530287633555,12.724399442686764,27.60409029822074,"[ 13.7000675  16.174122   23.158907   49.78365    91.68106   116.115074
 128.80504    45.909054 ]"
127,-20.845962893322703,1.2415957,15.854,1.6077747e-13,131.62839113815116,11.975621558019153,28.046144930328857,"[15.4839525 12.292203  15.208647  19.898422  37.095604  19.114502
 21.541378  29.97276  ]"
128,-3.7759363100085466,3.6519213,16.008,1.6077747e-13,163.88998526157954,25.684428372552688,14.566825673756636,"[ 36.907295  54.84694   91.25268  171.58997  105.73896   66.740524
  19.921877  16.050133]"
129,-42.343580317516874,0.6990464,16.138,8.526513e-14,160.10339330574155,24.90170128485304,15.303858729998405,"[ 78.243355  50.306602  66.26001  112.85266   76.44174   44.218163
  23.153328  18.002804]"
130,-12.18616382979848,1.8099219,16.206,3.4135645e-13,171.51376442686558,27.426938901095557,12.627916096114214,"[ 43.324253  75.13025   81.8864   101.365326 121.37952   57.343067
  24.065596  23.918938]"
131,-33.045512607576825,1.239659,16.267,7.337616,123.57058511850806,15.188161422361922,24.84984654236749,"[16.295918 16.246363 19.385832 26.907242 47.854298 82.24762  85.25019
 79.08862 ]"
132,-4.371409265569586,2.7241814,16.401,1.217323e-13,226.74923533258342,15.807329779408903,24.39010138089343,"[17.488743 20.860676 29.828209 45.580452 63.103226 65.218765 56.866673
 39.889942]"
133,-13.671442072121163,3.0109153,16.623,2.3133595e-13,66.36520308989688,15.690381661879025,24.42156198167109,"[ 17.486359  20.508875  26.423685  41.943756  51.846275  66.08536
 103.213844  94.47262 ]"
134,-42.556043414500486,1.5799042,16.668,25.123335,102.89613542379779,15.872512398277703,24.26666531439617,"[ 17.37155   15.264802  23.881695  50.453735  46.47926   52.78174
  68.901764 116.532555]"
135,-6.224444663295194,5.798511,16.753,4.8011007,77.62041555881214,11.28654408458013,28.974459777345196,"[ 11.616769  14.649324  25.495363  50.787243  92.56661  120.19392
  84.130486  43.636707]"
136,-12.11817026999704,2.5555768,16.862,3.422427e-13,107.1456664291481,14.734557009641417,25.432022720460722,"[ 11.201473  16.397343  19.125084  25.222235  37.84581   64.855225
  47.57362  120.40071 ]"
137,-5.7182349499030325,2.9219613,16.917,6.210547,121.91814054323575,17.145145098527763,23.00977334661463,"[ 19.197855  24.543674  40.858     50.05241   64.78827  112.69881
  85.02085   44.424557]"
138,0.5031043086757983,1.6167043,16.967,1.1368684e-13,115.30393553290604,25.219747434109244,15.116294635482479,"[47.991787 72.71324  87.89001  68.09225  28.651245 19.748331 17.028715
 17.06802 ]"
139,-12.211151833087204,2.8884816,17.076,1.1368684e-13,128.14633675678334,26.280887578775115,13.962789962468916,"[109.849495 172.4753    41.411995  31.226486  57.34739   16.309109
  18.508793  15.678703]"
