frame,game_cnt,time,v,ey,ephi,s,reward,reward_component0,reward_component1,reward_component2
1224,208,553.21,0.14545454545454556,2.978435236214787,0.32420894420819524,7.102164244979957e-14,-0.2059666158300167,-0.1961519086255851,-0.009814707204431615,0
1236,208,553.29,0.909090909090909,3.086087523885932,0.2918368885806979,7.102164244979957e-14,-0.21111033479220898,-0.20226735010561178,-0.008842984686597192,0
1248,208,553.36,1.6000000000000003,0.41247003247053315,0.31577263386413756,6.468711097034309,-0.03582168955379262,-0.02634851053786849,-0.009473179015924127,0
1260,208,553.43,2.4727272727272736,0.5975270619923918,0.3214988598942332,6.468711097034309,-0.04771219508676701,-0.0381537020932207,-0.009558492993546306,0
1272,208,553.54,4.181818181818184,0.944839835698667,0.33283178983938555,6.468711097034309,-0.06993971836198977,-0.05995476466680821,-0.009984953695181566,0
1284,208,553.64,4.472727272727275,1.4049080407571142,0.3384992968259457,6.468711097034309,-0.1003284561188217,-0.09008894947191153,-0.01023950664691017,0
1296,208,553.71,4.400000000000003,1.9312866198447847,0.37769293282365046,6.468711097034309,-0.1360685381997791,-0.12456855748353844,-0.01149998071624065,0
1308,208,553.79,4.363636363636366,2.4154867828212825,0.3466789561712411,6.468711097034309,-0.16714877578953244,-0.156833031634018,-0.010315744155514438,0
1320,208,553.86,4.8000000000000025,2.8845144031700074,0.33537797997112806,13.08789272926806,-0.19763874612887414,-0.18766170949309074,-0.00997703663578338,0
1332,208,553.95,5.745454545454549,3.4389629052241992,0.32985851456788096,13.08789272926806,-0.2337324450340326,-0.2237531491796594,-0.009979295854373174,0
1344,208,554.03,5.672727272727276,4.02821816172095,0.3130486649940356,13.08789272926806,-0.27223305479164833,-0.26267482005832105,-0.009558234733327309,0
1356,208,554.1,5.272727272727276,4.5246176113878915,0.2851054143043861,13.08789272926806,-0.30460384596555323,-0.29605068353642167,-0.008553162429131582,0
1368,208,554.17,6.509090909090913,5.017521705027632,0.2738836826948474,19.79316362878518,-0.3362905693555629,-0.32815694346074054,-0.00813362589482236,0
1380,208,554.24,7.054545454545459,5.617345349227698,0.2876412119466836,19.79316362878518,-0.37590618894271066,-0.36727695258431015,-0.008629236358400507,0
1392,208,554.33,8.290909090909096,6.32154991445009,0.2914202382011326,19.79316362878518,-0.42172903816328383,-0.41306770530889636,-0.008661332854387464,0
1404,208,554.33,8.290909090909096,6.3850721782513515,0.2914202382011326,19.79316362878518,-90.42596490149974,-0.41722229435370595,-0.008742607146033978,0
1416,209,554.38,0.0,0.0,-2.88198776558868,0.0,0,-0.41722229435370595,-0.008742607146033978,0
1428,209,554.46,0.7272727272727274,-0.0494523744383456,-0.04404364631535573,7.102164244979957e-14,0.0038015609675042085,0.002303927860610883,0.0014976331068933257,0
1440,209,554.53,4.218181818181819,0.7501483094168055,0.06553238334803213,7.102164244979957e-14,-0.044294807731241774,-0.04266910522283197,-0.0016257025084098053,0
1452,209,554.61,4.654545454545455,2.110222199304176,0.04291000380404508,7.102164244979957e-14,-0.13254158719127712,-0.1313387826059712,-0.0012028045853059144,0
1464,209,554.69,5.600000000000001,0.4908223506957434,0.1641907676254073,6.468711097034309,-0.03571945625780654,-0.030793733229044315,-0.004925723028762219,0
1476,209,554.76,5.563636363636365,0.7669784790869638,0.12245348372513387,6.468711097034309,-0.053250850492095846,-0.04932668655746312,-0.003924163934632729,0
1488,209,554.84,5.018181818181819,0.978018486036042,0.14783710207115197,6.468711097034309,-0.06773333855109655,-0.06321421023029897,-0.004519128320797576,0
1500,209,554.91,4.836363636363637,1.2160773770103097,0.1787468131588641,6.468711097034309,-0.08401069261926623,-0.07881683788217539,-0.005193854737090846,0
1512,209,554.98,5.709090909090911,1.5115742812154873,0.18433970114771814,13.08789272926807,-0.10349924484873499,-0.09796905381430344,-0.005530191034431544,0
